series,x_log10_gbar,y_log10_gobs,n_points,residual_vs_official
official_all,-10.45,-9.93,,
official_all,-10.5,-9.9,,
official_all,-10.56,-9.85,,
official_all,-10.6,-9.85,,
official_all,-10.7,-9.93,,
official_all,-10.79,-9.97,,
official_all,-10.89,-10.01,,
official_all,-11.0,-10.09,,
official_all,-11.08,-10.19,,
official_all,-11.17,-10.26,,
official_all,-11.24,-10.31,,
official_all,-11.28,-10.36,,
official_all,-11.29,-10.4,,
official_all,-11.31,-10.43,,
official_all,-11.35,-10.47,,
official_all,-11.39,-10.49,,
official_all,-11.43,-10.52,,
official_all,-11.17,-10.42,,
official_all,-11.29,-10.5,,
official_all,-11.37,-10.56,,
official_all,-11.41,-10.59,,
official_all,-11.43,-10.61,,
official_all,-11.43,-10.64,,
official_all,-11.44,-10.67,,
official_all,-11.46,-10.73,,
official_all,-11.51,-10.78,,
official_all,-11.57,-10.82,,
official_all,-11.64,-10.84,,
official_all,-10.89,-10.55,,
official_all,-10.9,-10.48,,
official_all,-10.94,-10.5,,
official_all,-11.0,-10.51,,
official_all,-11.05,-10.53,,
official_all,-8.35,-8.15,,
official_all,-8.41,-8.33,,
official_all,-8.49,-8.45,,
official_all,-8.56,-8.54,,
official_all,-8.63,-8.62,,
official_all,-8.69,-8.69,,
official_all,-8.74,-8.74,,
official_all,-8.79,-8.79,,
official_all,-8.84,-8.83,,
official_all,-8.88,-8.87,,
official_all,-8.92,-8.9,,
official_all,-8.96,-8.94,,
official_all,-8.99,-8.97,,
official_all,-9.03,-8.99,,
official_all,-9.06,-9.02,,
official_all,-9.09,-9.05,,
official_all,-9.11,-9.07,,
official_all,-9.13,-9.09,,
official_all,-9.15,-9.11,,
official_all,-9.17,-9.13,,
official_all,-9.19,-9.15,,
official_all,-9.21,-9.17,,
official_all,-9.23,-9.19,,
official_all,-9.24,-9.21,,
official_all,-9.26,-9.22,,
official_all,-9.28,-9.24,,
official_all,-9.3,-9.25,,
official_all,-9.31,-9.27,,
official_all,-9.33,-9.28,,
official_all,-9.34,-9.29,,
official_all,-9.36,-9.31,,
official_all,-9.38,-9.32,,
official_all,-9.39,-9.33,,
official_all,-9.41,-9.35,,
official_all,-9.42,-9.36,,
official_all,-9.44,-9.37,,
official_all,-9.46,-9.38,,
official_all,-9.47,-9.39,,
official_all,-9.48,-9.4,,
official_all,-9.49,-9.41,,
official_all,-9.5,-9.42,,
official_all,-9.53,-9.44,,
official_all,-9.55,-9.45,,
official_all,-9.56,-9.46,,
official_all,-9.58,-9.47,,
official_all,-9.65,-9.51,,
official_all,-9.66,-9.53,,
official_all,-9.66,-9.53,,
official_all,-9.67,-9.53,,
official_all,-9.68,-9.54,,
official_all,-9.69,-9.55,,
official_all,-9.7,-9.56,,
official_all,-9.72,-9.57,,
official_all,-9.8,-9.63,,
official_all,-9.92,-9.71,,
official_all,-10.02,-9.78,,
official_all,-10.13,-9.83,,
official_all,-10.22,-9.89,,
official_all,-10.31,-9.93,,
official_all,-10.38,-9.97,,
official_all,-10.44,-10.01,,
official_all,-10.49,-10.05,,
official_all,-10.55,-10.08,,
official_all,-10.64,-10.14,,
official_all,-10.73,-10.21,,
official_all,-10.82,-10.28,,
official_all,-10.9,-10.37,,
official_all,-10.97,-10.45,,
official_all,-11.04,-10.48,,
official_all,-11.09,-10.51,,
official_all,-11.14,-10.53,,
official_all,-11.19,-10.54,,
official_all,-10.93,-10.44,,
official_all,-10.97,-10.41,,
official_all,-10.96,-10.46,,
official_all,-11.02,-10.5,,
official_all,-11.07,-10.53,,
official_all,-11.15,-10.57,,
official_all,-11.16,-10.62,,
official_all,-11.2,-10.66,,
official_all,-11.08,-10.62,,
official_all,-11.11,-10.61,,
official_all,-11.16,-10.72,,
official_all,-11.22,-10.72,,
official_all,-11.27,-10.74,,
official_all,-11.32,-10.8,,
official_all,-10.98,-10.1,,
official_all,-10.88,-9.96,,
official_all,-10.79,-9.96,,
official_all,-10.76,-10.04,,
official_all,-10.77,-10.12,,
official_all,-10.83,-10.19,,
official_all,-10.89,-10.24,,
official_all,-10.96,-10.31,,
official_all,-11.16,-10.53,,
official_all,-11.22,-10.54,,
official_all,-11.24,-10.55,,
official_all,-11.25,-10.59,,
official_all,-11.3,-10.59,,
official_all,-11.33,-10.57,,
official_all,-11.41,-10.47,,
official_all,-11.45,-10.46,,
official_all,-11.43,-10.44,,
official_all,-11.39,-10.42,,
official_all,-11.35,-10.39,,
official_all,-11.26,-10.39,,
official_all,-11.0,-10.38,,
official_all,-10.98,-10.38,,
official_all,-11.0,-10.38,,
official_all,-9.46,-9.73,,
official_all,-9.51,-9.8,,
official_all,-9.54,-9.86,,
official_all,-9.57,-9.9,,
official_all,-9.61,-9.93,,
official_all,-9.65,-9.96,,
official_all,-9.69,-9.98,,
official_all,-9.74,-9.99,,
official_all,-9.77,-10.0,,
official_all,-9.81,-10.0,,
official_all,-9.87,-10.01,,
official_all,-9.91,-10.01,,
official_all,-9.93,-10.0,,
official_all,-9.95,-10.0,,
official_all,-9.98,-10.0,,
official_all,-10.0,-10.0,,
